Rotation,PartGroup,Part_Number,Supplier,Location Pick,Model,Date,Time
0001,GROUP 01,RB3T-14290-XUC,SEWT,PX-OBSOLETEPART,U704,08/07/2025,06:10:51
0001,GROUP 07,RB3T-14A005-UDEC,SEWT,PB-12,U704,08/07/2025,06:10:51
0001,GROUP 01,P1VT-14630-VSF,SEWT,PA-15-2,U704,08/07/2025,06:10:51
0001,GROUP 01,P1VT-14631-UUE,SEWT,PA-23-2,U704,08/07/2025,06:10:51
0001,GROUP 01,P1VT-14632-UCF,SEWT,PA-16-1,U704,08/07/2025,06:10:51
0001,GROUP 01,P1VT-14633-UCF,SEWT,PA-17-1,U704,08/07/2025,06:10:51
0001,GROUP 02,RB3T-14405-VXC,SEWT,PB-49,U704,08/07/2025,06:10:51
0001,GROUP 02,PB3T-2B572-PXE,SEWT,PB-39-1,U704,08/07/2025,06:10:51
0001,LOT,MB3T-14301-AF,SEWT,LD-01,U704,08/07/2025,06:10:51
0001,LOT,PB3T-14B060-UAF,SEWT,LD-01,U704,08/07/2025,06:10:51
0001,GROUP 03,PB3T-7C078-BUC,SEWT,PC-19-2,U704,08/07/2025,06:10:51
0001,GROUP 04,R1VT-14401-KAC,SEWT,PX-OBSOLETEPART,U704,08/07/2025,06:10:51
0001,GROUP 04,PB3B-2104545-CC,HAS,PD-01,U704,08/07/2025,06:10:51
0001,GROUP 06L,N1WB-13E015-DF,TK,PH-01,U704,08/07/2025,06:10:51
0001,GROUP 06R,N1WB-13E014-DF,TK,PG-01,U704,08/07/2025,06:10:51
0001,GROUP 07,RB3T-14A005-UDEC,SEWT,PB-12,U704,08/07/2025,06:10:51
0001,LOT,PB3T-2B325-UDE,SEWT,LD-01,U704,08/07/2025,06:10:51
0001,GROUP 09R,N1VB-16450-AC,ARK,PF-03,U704,08/07/2025,06:10:51
0001,GROUP 09L,N1VB-16451-AC,ARK,PF-04,U704,08/07/2025,06:10:51
0001,GROUP 10,N1VB-E044D70-HHSMZ8,SI,PI-01-1,U704,08/07/2025,06:10:51
0001,GROUP 10,N1WB-E04652-PA3ZHE,SI,PJ-01-1,U704,08/07/2025,06:10:51
0001,GROUP 11,N1VB-E045B58-HMSMZ8,SI,PK-01-1,U704,08/07/2025,06:10:51
0002,GROUP 01,RB3T-14290-RDTC,SEWT,PX-OBSOLETEPART,P703,08/07/2025,06:12:10
0002,GROUP 07,RB3T-14A005-ABJC,SEWT,PX-OBSOLETEPART,P703,08/07/2025,06:12:10
0002,GROUP 01,P1WT-14630-GCF,SEWT,PA-24-2,P703,08/07/2025,06:12:10
0002,GROUP 01,P1WT-14631-HYF,SEWT,PA-23-3,P703,08/07/2025,06:12:10
0002,GROUP 01,P1WT-14632-DAF,SEWT,PX-OBSOLETEPART,P703,08/07/2025,06:12:10
0002,GROUP 01,P1WT-14633-DAE,SEWT,PX-OBSOLETEPART,P703,08/07/2025,06:12:10
0002,GROUP 02,RB3T-14405-DBC,SEWT,PX-OBSOLETEPART,P703,08/07/2025,06:12:10
0002,GROUP 02,P1WT-13A576-PAF,SEWT,PX-OBSOLETEPART,P703,08/07/2025,06:12:10
0002,GROUP 02,PB3T-2B572-RCF,SEWT,PB-38-1,P703,08/07/2025,06:12:10
0002,LOT,MB3T-14301-AF,SEWT,LD-01,P703,08/07/2025,06:12:10
0002,LOT,PB3T-14B060-AAF,SEWT,LD-01,P703,08/07/2025,06:12:10
0002,GROUP 03,PB3T-7C078-BAC,SEWT,PX-OBSOLETEPART,P703,08/07/2025,06:12:10
0002,GROUP 04,R1WT-14401-REC,SEWT,PX-OBSOLETEPART,P703,08/07/2025,06:12:10
0002,GROUP 04,PB3B-2104545-CC,HAS,PD-01,P703,08/07/2025,06:12:10
0002,GROUP 05,N1WB-E13000-BL3JA6,HTT,PA-03,P703,08/07/2025,06:12:10
0002,GROUP 06L,N1WB-13E017-BH,TK,PH-04,P703,08/07/2025,06:12:10
0002,GROUP 06R,N1WB-13E016-BH,TK,PG-04,P703,08/07/2025,06:12:10
0002,GROUP 07,RB3T-14A005-ABJC,SEWT,PX-OBSOLETEPART,P703,08/07/2025,06:12:10
0002,LOT,PB3T-2B325-CME,SEWT,LD-01,P703,08/07/2025,06:12:10
