Rotation,PartGroup,Part_Number,Supplier,Location Pick,Model,Date,Time
3755,GROUP 01,SB3T-14290-UXDB,SEWT,PAA-19,U704,09/04/2026,07:35:30
3755,GROUP 07,SB3T-14A005-VCMC,SEWT,PB-23-2,U704,09/04/2026,07:35:30
3755,GROUP 01,S1VT-14630-UDB,SEWT,PA-16-4,U704,09/04/2026,07:35:30
3755,GROUP 01,S1VT-14631-UGC,SEWT,PA-21-4,U704,09/04/2026,07:35:30
3755,GROUP 01,S1VT-14632-PLC,SEWT,PA-21-2,U704,09/04/2026,07:35:30
3755,GROUP 01,S1VT-14633-PLC,SEWT,PA-14-4,U704,09/04/2026,07:35:30
3755,GROUP 02,SB3T-14405-UNC,SEWT,PB-34-3,U704,09/04/2026,07:35:30
3755,GROUP 02,SB3T-2B572-PXC,SEWT,PB-39-1,U704,09/04/2026,07:35:30
3755,LOT,SB3T-14301-AC,SEWT,LD-01,U704,09/04/2026,07:35:30
3755,LOT,SB3T-14B060-PXC,SEWT,LD-01,U704,09/04/2026,07:35:30
3755,GROUP 03,SB3T-7C078-PUC,SEWT,PC-20-2,U704,09/04/2026,07:35:30
3755,GROUP 04,S1VT-14401-KJB,SEWT,PC-05-4,U704,09/04/2026,07:35:30
3755,GROUP 04,PB3B-2104545-EE,HAS,PD-02,U704,09/04/2026,07:35:30
3755,GROUP 06L,R1WB-13E017-GA,TK,PH-04,U704,09/04/2026,07:35:30
3755,GROUP 06R,R1WB-13E016-GA,TK,PG-04,U704,09/04/2026,07:35:30
3755,GROUP 07,SB3T-14A005-VCMC,SEWT,PB-23-2,U704,09/04/2026,07:35:30
3755,LOT,SB3T-2B325-UFC,SEWT,LD-01,U704,09/04/2026,07:35:30
3755,GROUP 09R,N1VB-16450-CC,ARK,PE-03,U704,09/04/2026,07:35:30
3755,GROUP 09L,N1VB-16451-CC,ARK,PE-04,U704,09/04/2026,07:35:30
3755,GROUP 10,S1WB-E044D70-JBSM0A,SI,PI-03-1,U704,09/04/2026,07:35:30
3755,GROUP 10,N1WB-E04652-NA3ZHE,SI,PJ-02-1,U704,09/04/2026,07:35:30
3755,GROUP 11,S1WB-E045B58-JCSM0A,SI,PK-05-2,U704,09/04/2026,07:35:30
3756,GROUP 01,SB3T-14290-GAC,SEWT,PAA-08,P703,09/04/2026,07:42:04
3756,GROUP 07,SB3T-14A005-AAC,SEWT,PB-20-3,P703,09/04/2026,07:42:04
3756,GROUP 01,S1WT-14630-GMC,SEWT,PA-19-2,P703,09/04/2026,07:42:04
3756,GROUP 01,S1WT-14631-GPC,SEWT,PA-24-3,P703,09/04/2026,07:42:04
3756,GROUP 01,S1WT-14632-DAC,SEWT,PA-14-1,P703,09/04/2026,07:42:04
3756,GROUP 01,S1WT-14633-DAC,SEWT,PA-15-1,P703,09/04/2026,07:42:04
