Rotation,PartGroup,Part_Number,Supplier,Location Pick,Model,Date,Time
4824,GROUP 01,RB3T-14290-RDTD,SEWT,PA-33-1,P703,05/02/2026,08:13:33
4824,GROUP 07,RB3T-14A005-ABJD,SEWT,PB-29-2,P703,05/02/2026,08:13:33
4824,GROUP 01,P1WT-14630-GCF,SEWT,PA-24-2,P703,05/02/2026,08:13:33
4824,GROUP 01,P1WT-14631-HYF,SEWT,PA-23-3,P703,05/02/2026,08:13:33
4824,GROUP 01,P1WT-14632-DAG,SEWT,PA-15-1,P703,05/02/2026,08:13:33
4824,GROUP 01,P1WT-14633-DAF,SEWT,PA-14-1,P703,05/02/2026,08:13:33
4824,GROUP 02,RB3T-14405-DBD,SEWT,PB-47,P703,05/02/2026,08:13:33
4824,GROUP 02,P1WT-13A576-PAG,SEWT,PB-40-1,P703,05/02/2026,08:13:33
4824,GROUP 02,PB3T-2B572-RCF,SEWT,PB-38-1,P703,05/02/2026,08:13:33
4824,GROUP 03,PB3T-7C078-BAD,SEWT,PC-19-1,P703,05/02/2026,08:13:33
4824,GROUP 04,R1WT-14401-RED,SEWT,PC-02-3,P703,05/02/2026,08:13:33
4824,GROUP 04,PB3B-2104545-CC,HAS,PD-01,P703,05/02/2026,08:13:33
4824,GROUP 05,N1WB-E13000-BM3JA6,HTT,PA-03,P703,05/02/2026,08:13:33
4824,GROUP 06L,N1WB-13E017-BH,TK,PH-04,P703,05/02/2026,08:13:33
4824,GROUP 06R,N1WB-13E016-BH,TK,PG-04,P703,05/02/2026,08:13:33
4824,GROUP 07,RB3T-14A005-ABJD,SEWT,PB-29-2,P703,05/02/2026,08:13:33
4824,GROUP 09R,N1WB-16450-GB,ARK,PX-SPECIAL,P703,05/02/2026,08:13:33
4824,GROUP 09L,N1WB-16451-GB,ARK,PX-SPECIAL,P703,05/02/2026,08:13:33
4824,GROUP 10,N1WB-E044D70-KLSM0A,SI,PI-02-1,P703,05/02/2026,08:13:33
4824,GROUP 10,N1WB-E04652-PA3ZHE,SI,PJ-01-1,P703,05/02/2026,08:13:33
4824,GROUP 11,N1WB-E045B58-KPSM0A,SI,PK-02-1,P703,05/02/2026,08:13:33
4825,GROUP 01,RB3T-14290-UVVD,SEWT,PA-27-2,U704,05/02/2026,08:15:16
4825,GROUP 07,RB3T-14A005-VJLD,SEWT,PB-02,U704,05/02/2026,08:15:16
4825,GROUP 01,P1VT-14630-UDD,SEWT,PA-12-2,U704,05/02/2026,08:15:16
4825,GROUP 01,P1VT-14631-UAD,SEWT,PA-14-4,U704,05/02/2026,08:15:16
4825,GROUP 01,P1VT-14632-KAF,SEWT,PA-18-1,U704,05/02/2026,08:15:16
4825,GROUP 01,P1VT-14633-KAF,SEWT,PA-19-1,U704,05/02/2026,08:15:16
4825,GROUP 02,RB3T-14405-VTD,SEWT,PB-44,U704,05/02/2026,08:15:16
4825,GROUP 02,PB3T-2B572-PXE,SEWT,PB-39-1,U704,05/02/2026,08:15:16
4825,GROUP 03,PB3T-7C078-PUD,SEWT,PC-21-3,U704,05/02/2026,08:15:16
4825,GROUP 04,R1VT-14401-GXD,SEWT,PC-06-2,U704,05/02/2026,08:15:16
4825,GROUP 04,PB3B-2104545-EC,HAS,PD-02,U704,05/02/2026,08:15:16
