Rotation,PartGroup,Part_Number,Supplier,Location Pick,Model,Date,Time
7496,GROUP 01,SB3T-14290-URC,SEWT,PAA-03,U704,18/03/2026,05:11:24
7496,GROUP 07,SB3T-14A005-UBKC,SEWT,PB-19-3,U704,18/03/2026,05:11:24
7496,GROUP 01,S1VT-14630-UUC,SEWT,PA-13-2,U704,18/03/2026,05:11:24
7496,GROUP 01,S1VT-14631-XUC,SEWT,PA-16-3,U704,18/03/2026,05:11:24
7496,GROUP 01,S1VT-14632-UCC,SEWT,PA-16-1,U704,18/03/2026,05:11:24
7496,GROUP 01,S1VT-14633-UCC,SEWT,PA-17-1,U704,18/03/2026,05:11:24
7496,GROUP 02,SB3T-14405-UMC,SEWT,PB-50,U704,18/03/2026,05:11:24
7496,GROUP 02,SB3T-2B572-PXC,SEWT,PB-39-1,U704,18/03/2026,05:11:24
7496,LOT,SB3T-14301-AC,SEWT,LD-01,U704,18/03/2026,05:11:24
7496,LOT,SB3T-14B060-PSC,SEWT,LD-01,U704,18/03/2026,05:11:24
7496,GROUP 03,SB3T-7C078-PUC,SEWT,PC-20-2,U704,18/03/2026,05:11:24
7496,GROUP 04,S1VT-14401-KCC,SEWT,PC-01-1,U704,18/03/2026,05:11:24
7496,GROUP 04,PB3B-2104545-CE,HAS,PD-01,U704,18/03/2026,05:11:24
7496,GROUP 06L,N1WB-13E015-DF,TK,PH-01,U704,18/03/2026,05:11:24
7496,GROUP 06R,N1WB-13E014-DF,TK,PG-01,U704,18/03/2026,05:11:24
7496,GROUP 07,SB3T-14A005-UBKC,SEWT,PB-19-3,U704,18/03/2026,05:11:24
7496,LOT,SB3T-2B325-UJC,SEWT,LD-01,U704,18/03/2026,05:11:24
7496,GROUP 09R,N1VB-16450-AC,ARK,PF-03,U704,18/03/2026,05:11:24
7496,GROUP 09L,N1VB-16451-AC,ARK,PF-04,U704,18/03/2026,05:11:24
7496,GROUP 10,S1WB-E044D70-FB3HMT,SI,PI-04-1,U704,18/03/2026,05:11:24
7496,GROUP 10,N1WB-E04652-PA3ZHE,SI,PJ-01-1,U704,18/03/2026,05:11:24
7496,GROUP 11,S1VB-E045B58-FC3HMT,SI,PK-02-2,U704,18/03/2026,05:11:24
7497,GROUP 01,SB3T-14290-UTDC,SEWT,PAA-13,U704,18/03/2026,05:12:55
7497,GROUP 07,SB3T-14A005-PLAC,SEWT,PB-19-1,U704,18/03/2026,05:12:55
7497,GROUP 01,S1VT-14630-URC,SEWT,PA-12-2,U704,18/03/2026,05:12:55
7497,GROUP 01,S1VT-14631-UUC,SEWT,PA-13-3,U704,18/03/2026,05:12:55
7497,GROUP 01,S1VT-14632-UDC,SEWT,PA-22-1,U704,18/03/2026,05:12:55
7497,GROUP 01,S1VT-14633-UDC,SEWT,PA-23-1,U704,18/03/2026,05:12:55
7497,GROUP 02,SB3T-14405-VNC,SEWT,PB-45,U704,18/03/2026,05:12:55
7497,GROUP 02,SB3T-2B572-PXC,SEWT,PB-39-1,U704,18/03/2026,05:12:55
7497,LOT,SB3T-14301-AC,SEWT,LD-01,U704,18/03/2026,05:12:55
7497,LOT,SB3T-14B060-UAC,SEWT,LD-01,U704,18/03/2026,05:12:55
7497,GROUP 03,SB3T-7C078-BVC,SEWT,PC-19-3,U704,18/03/2026,05:12:55
7497,GROUP 04,S1VT-14401-UZC,SEWT,PC-10-4,U704,18/03/2026,05:12:55
7497,GROUP 04,PB3B-2104545-FE,HAS,PD-03,U704,18/03/2026,05:12:55
7497,GROUP 06L,R1WB-13E017-HA,TK,PH-03,U704,18/03/2026,05:12:55
7497,GROUP 06R,R1WB-13E016-HA,TK,PG-03,U704,18/03/2026,05:12:55
7497,GROUP 07,SB3T-14A005-PLAC,SEWT,PB-19-1,U704,18/03/2026,05:12:55
7497,GROUP 08,SB3T-2B325-UCC,SEWT,LD-01,U704,18/03/2026,05:12:55
7497,GROUP 09R,N1VB-16450-CC,ARK,PE-03,U704,18/03/2026,05:12:55
7497,GROUP 09L,N1VB-16451-CC,ARK,PE-04,U704,18/03/2026,05:12:55
7497,GROUP 10,S1WB-E044D70-KBSM0A,SI,PI-02-1,U704,18/03/2026,05:12:55
7497,GROUP 10,N1WB-E04652-PA3ZHE,SI,PJ-01-1,U704,18/03/2026,05:12:55
7497,GROUP 11,S1WB-E045B58-KCSM0A,SI,PL-02-1,U704,18/03/2026,05:12:55
